iter	RMSE
0	116.3453538
1	105.6056099
2	95.87369358
3	87.33632988
4	79.3291033
5	72.22772367
6	65.78749351
7	59.83105774
8	54.46283648
9	49.63613434
10	45.1742413
11	41.24459229
12	37.62890221
13	34.33771397
14	31.51606626
15	28.86489276
16	26.60047239
17	24.4308742
18	22.52001353
19	20.72560781
20	19.11166225
21	17.67018072
22	16.39725878
23	15.26606503
24	14.30347363
25	13.31914121
26	12.45780652
27	11.69465823
28	11.0694198
29	10.42944735
30	9.901854364
31	9.45496034
32	8.959565962
33	8.498018028
34	8.03344426
35	7.69878377
36	7.375334177
37	7.093765326
38	6.841197159
39	6.578197918
40	6.372480788
41	6.111092868
42	5.893350979
43	5.690149897
44	5.534027619
45	5.384056352
46	5.228278358
47	5.100357798
48	4.938293025
49	4.829799202
