iter	Passed	Remaining
0	6	300
1	12	304
2	20	315
3	36	415
4	45	413
5	55	410
6	67	415
7	78	412
8	89	408
9	95	383
10	105	372
11	113	359
12	127	361
13	142	365
14	151	352
15	159	338
16	169	329
17	186	331
18	193	315
19	200	300
20	209	288
21	219	279
22	225	265
23	237	256
24	249	249
25	262	242
26	277	236
27	291	228
28	305	220
29	320	213
30	334	205
31	346	194
32	358	184
33	368	173
34	384	164
35	393	153
36	403	141
37	413	130
38	422	119
39	436	109
40	445	97
41	453	86
42	462	75
43	470	64
44	478	53
45	486	42
46	496	31
47	501	20
48	512	10
49	518	0
